plot_id,visit_year,imcy_inv,avg_tiller_density_m2,xcoord_lon,ycoord_lat,years_since_fire
eglin b1,2017,uninvaded,NA,-86.253158,30.73214,1
eglin p1,2017,uninvaded,NA,-86.275308,30.734897,7
eglin d1,2017,uninvaded,NA,-86.510521,30.596483,3
eglin h1,2017,uninvaded,NA,-86.480089,30.571814,9
eglin a1,2018,uninvaded,NA,-86.507376,30.590218,1
eglin b2,2018,uninvaded,NA,-86.496065,30.607785,2
eglin c1,2018,uninvaded,NA,-86.425476,30.597517,3
eglin e1,2018,uninvaded,NA,-86.281877,30.68349,0
eglin f1,2018,uninvaded,NA,-86.532676,30.605483,7
eglin g1,2018,uninvaded,NA,-86.48356,30.562187,7
eglin i1,2018,uninvaded,NA,-86.243462,30.699865,9
eglin j1,2018,uninvaded,NA,-86.448132,30.616449,11
