Installation,site,plot_ID,year,human_path,Pathogen_abundance,Tick_abundance,tbo_per_tick
Avon,"Avon Park Air Force Range; Polk & Highlands County, Florida",c1,2018,No,2,2,1
Avon,"Avon Park Air Force Range; Polk & Highlands County, Florida",c2,2018,No,1,1,1
Avon,"Avon Park Air Force Range; Polk & Highlands County, Florida",e1,2018,No,1,1,1
Avon,"Avon Park Air Force Range; Polk & Highlands County, Florida",g1,2018,No,0,1,0
Avon,"Avon Park Air Force Range; Polk & Highlands County, Florida",i1,2018,No,1,1,1
Benning,"Fort Benning; Chattahoochee County, Georgia",a1,2018,No,13,11,1.1818181818181819
Benning,"Fort Benning; Chattahoochee County, Georgia",c1,2018,No,1,1,1
Benning,"Fort Benning; Chattahoochee County, Georgia",d1,2018,Yes,2,1,2
Benning,"Fort Benning; Chattahoochee County, Georgia",e1,2018,No,3,3,1
Benning,"Fort Benning; Chattahoochee County, Georgia",g1,2018,No,2,2,1
Benning,"Fort Benning; Chattahoochee County, Georgia",i1,2018,No,6,7,0.8571428571428571
Blanding,"Camp Blanding Army Base; Clay County, Florida",A1,2017,Yes,3,1,3
Blanding,"Camp Blanding Army Base; Clay County, Florida",c1,2018,No,2,1,2
Blanding,"Camp Blanding Army Base; Clay County, Florida",D1,2017,No,4,2,2
Blanding,"Camp Blanding Army Base; Clay County, Florida",D1,2017,Yes,2,1,2
Blanding,"Camp Blanding Army Base; Clay County, Florida",E1,2017,No,2,2,1
Blanding,"Camp Blanding Army Base; Clay County, Florida",F1,2017,No,22,23,0.9565217391304348
Blanding,"Camp Blanding Army Base; Clay County, Florida",F1,2017,Yes,2,1,2
Blanding,"Camp Blanding Army Base; Clay County, Florida",g1,2018,No,2,1,2
Blanding,"Camp Blanding Army Base; Clay County, Florida",g1,2018,Yes,5,2,2.5
Blanding,"Camp Blanding Army Base; Clay County, Florida",G1,2017,No,8,6,1.3333333333333333
Blanding,"Camp Blanding Army Base; Clay County, Florida",G1,2017,Yes,2,1,2
Blanding,"Camp Blanding Army Base; Clay County, Florida",h1,2018,No,13,8,1.625
Blanding,"Camp Blanding Army Base; Clay County, Florida",H1,2017,No,199,129,1.5426356589147288
Blanding,"Camp Blanding Army Base; Clay County, Florida",H1,2017,Yes,69,30,2.3
Blanding,"Camp Blanding Army Base; Clay County, Florida",i1,2018,No,6,4,1.5
Blanding,"Camp Blanding Army Base; Clay County, Florida",j1,2018,No,32,22,1.4545454545454546
Blanding,"Camp Blanding Army Base; Clay County, Florida",j1,2018,Yes,20,9,2.2222222222222223
Blanding,"Camp Blanding Army Base; Clay County, Florida",k1,2018,No,91,57,1.5964912280701755
Blanding,"Camp Blanding Army Base; Clay County, Florida",k1,2018,Yes,26,10,2.6
Blanding,"Camp Blanding Army Base; Clay County, Florida",m1,2018,No,9,5,1.8
Blanding,"Camp Blanding Army Base; Clay County, Florida",n1,2018,No,5,3,1.6666666666666667
Eglin,"Eglin Air Force Base; Okaloosa County, Florida",a1,2018,No,2,1,2
Eglin,"Eglin Air Force Base; Okaloosa County, Florida",D1,2017,No,7,6,1.1666666666666667
Eglin,"Eglin Air Force Base; Okaloosa County, Florida",f1,2018,No,0,1,0
Eglin,"Eglin Air Force Base; Okaloosa County, Florida",H1,2017,No,86,49,1.7551020408163265
Eglin,"Eglin Air Force Base; Okaloosa County, Florida",H1,2017,Yes,36,11,3.272727272727273
Eglin,"Eglin Air Force Base; Okaloosa County, Florida",i1,2018,No,17,12,1.4166666666666667
Eglin,"Eglin Air Force Base; Okaloosa County, Florida",i1,2018,Yes,6,2,3
Eglin,"Eglin Air Force Base; Okaloosa County, Florida",j1,2018,No,12,6,2
Eglin,"Eglin Air Force Base; Okaloosa County, Florida",P1,2017,No,1,1,1
Gordon,"Fort Gordon Army Base; Columbia, Jefferson, Richmond, McDuffie Counties, Georgia",r1,2018,No,11,7,1.5714285714285714
Gordon,"Fort Gordon Army Base; Columbia, Jefferson, Richmond, McDuffie Counties, Georgia",r1,2018,Yes,4,2,2
Gordon,"Fort Gordon Army Base; Columbia, Jefferson, Richmond, McDuffie Counties, Georgia",s1,2018,No,11,8,1.375
Gordon,"Fort Gordon Army Base; Columbia, Jefferson, Richmond, McDuffie Counties, Georgia",s1,2018,Yes,10,4,2.5
Gordon,"Fort Gordon Army Base; Columbia, Jefferson, Richmond, McDuffie Counties, Georgia",t1,2018,No,5,3,1.6666666666666667
Gordon,"Fort Gordon Army Base; Columbia, Jefferson, Richmond, McDuffie Counties, Georgia",v1,2018,No,40,24,1.6666666666666667
Gordon,"Fort Gordon Army Base; Columbia, Jefferson, Richmond, McDuffie Counties, Georgia",w1,2018,No,22,21,1.0476190476190477
Gordon,"Fort Gordon Army Base; Columbia, Jefferson, Richmond, McDuffie Counties, Georgia",w1,2018,Yes,6,2,3
Jackson,"Fort Jackson Army Base; Richland County, South Carolina",a1,2018,No,1,1,1
Jackson,"Fort Jackson Army Base; Richland County, South Carolina",d1,2018,No,4,3,1.3333333333333333
Jackson,"Fort Jackson Army Base; Richland County, South Carolina",g1,2018,No,2,1,2
Jackson,"Fort Jackson Army Base; Richland County, South Carolina",l1,2018,Yes,3,1,3
Jackson,"Fort Jackson Army Base; Richland County, South Carolina",m1,2018,No,2,1,2
Moody,"Moody Air Force Base; Lowndes County, Georgia",X,2017,No,8,6,1.3333333333333333
Moody,"Moody Air Force Base; Lowndes County, Georgia",X,2017,Yes,3,1,3
Shelby,"Camp Shelby Joint Forces Training Center; Perry, Forrest & Green County, Mississippi",B1,2017,No,2,1,2
Shelby,"Camp Shelby Joint Forces Training Center; Perry, Forrest & Green County, Mississippi",B1,2017,Yes,2,1,2
Shelby,"Camp Shelby Joint Forces Training Center; Perry, Forrest & Green County, Mississippi",b3,2018,No,1,1,1
Shelby,"Camp Shelby Joint Forces Training Center; Perry, Forrest & Green County, Mississippi",B3,2017,No,3,2,1.5
Shelby,"Camp Shelby Joint Forces Training Center; Perry, Forrest & Green County, Mississippi",c1,2018,No,1,1,1
Shelby,"Camp Shelby Joint Forces Training Center; Perry, Forrest & Green County, Mississippi",D1,2017,Yes,2,1,2
Shelby,"Camp Shelby Joint Forces Training Center; Perry, Forrest & Green County, Mississippi",G1,2017,No,21,9,2.3333333333333335
Shelby,"Camp Shelby Joint Forces Training Center; Perry, Forrest & Green County, Mississippi",G1,2017,Yes,6,2,3
Shelby,"Camp Shelby Joint Forces Training Center; Perry, Forrest & Green County, Mississippi",h1,2018,No,3,1,3
Shelby,"Camp Shelby Joint Forces Training Center; Perry, Forrest & Green County, Mississippi",j1,2018,No,9,5,1.8
Shelby,"Camp Shelby Joint Forces Training Center; Perry, Forrest & Green County, Mississippi",k1,2018,No,1,1,1
Tyndall,"Tyndall Air Force Base; Bay County, Florida",b1,2018,No,1,1,1
Tyndall,"Tyndall Air Force Base; Bay County, Florida",b2,2018,No,4,2,2
Tyndall,"Tyndall Air Force Base; Bay County, Florida",b2,2018,Yes,5,1,5
Tyndall,"Tyndall Air Force Base; Bay County, Florida",B2,2017,No,6,3,2
Tyndall,"Tyndall Air Force Base; Bay County, Florida",B2,2017,Yes,3,1,3
Tyndall,"Tyndall Air Force Base; Bay County, Florida",b3,2018,No,3,3,1
Tyndall,"Tyndall Air Force Base; Bay County, Florida",b3,2018,Yes,1,1,1
Tyndall,"Tyndall Air Force Base; Bay County, Florida",c1,2018,No,108,42,2.5714285714285716
Tyndall,"Tyndall Air Force Base; Bay County, Florida",c1,2018,Yes,71,20,3.55
Tyndall,"Tyndall Air Force Base; Bay County, Florida",c2,2018,No,96,37,2.5945945945945947
Tyndall,"Tyndall Air Force Base; Bay County, Florida",c2,2018,Yes,33,9,3.6666666666666665
Tyndall,"Tyndall Air Force Base; Bay County, Florida",D1,2017,No,11,11,1
Tyndall,"Tyndall Air Force Base; Bay County, Florida",D1,2017,Yes,3,1,3
Tyndall,"Tyndall Air Force Base; Bay County, Florida",d2,2018,No,82,31,2.6451612903225805
Tyndall,"Tyndall Air Force Base; Bay County, Florida",d2,2018,Yes,10,2,5
