date,status,logger_id,days,minutes_above_85,minutes_bw_75_85,minutes_below_75
2018-06-22,invaded,01,1,1440,0,0
2018-06-22,invaded,02,1,1440,0,0
2018-06-22,invaded,03,1,945,175,320
2018-06-22,invaded,04,1,1200,235,0
2018-06-22,invaded,05,1,1415,25,0
2018-06-22,invaded,06,1,1440,0,0
2018-06-22,invaded,07,1,1440,0,0
2018-06-22,invaded,08,1,1420,20,0
2018-06-22,invaded,09,1,1050,345,45
2018-06-22,invaded,10,1,925,215,300
2018-06-22,invaded,11,1,750,190,500
2018-06-22,invaded,12,1,825,245,370
2018-06-22,native,13,1,885,150,405
2018-06-22,native,14,1,990,160,290
2018-06-22,native,15,1,860,150,430
2018-06-22,native,16,1,815,110,515
2018-06-22,native,17,1,735,140,565
2018-06-22,native,18,1,950,165,325
2018-06-22,native,19,1,845,125,470
2018-06-22,native,20,1,1065,260,115
2018-06-22,native,21,1,915,175,350
2018-06-22,native,22,1,1200,125,115
2018-06-22,native,23,1,865,90,485
2018-06-22,native,24,1,880,200,360
2018-06-23,invaded,01,2,1440,0,0
2018-06-23,invaded,02,2,1440,0,0
2018-06-23,invaded,03,2,835,165,440
2018-06-23,invaded,04,2,1015,345,80
2018-06-23,invaded,05,2,1085,355,0
2018-06-23,invaded,06,2,1080,360,0
2018-06-23,invaded,07,2,1340,100,0
2018-06-23,invaded,08,2,1170,270,0
2018-06-23,invaded,09,2,885,300,255
2018-06-23,invaded,10,2,840,160,440
2018-06-23,invaded,11,2,695,205,540
2018-06-23,invaded,12,2,760,155,525
2018-06-23,native,13,2,860,200,380
2018-06-23,native,14,2,955,140,345
2018-06-23,native,15,2,845,135,460
2018-06-23,native,16,2,800,100,540
2018-06-23,native,17,2,740,150,545
2018-06-23,native,18,2,940,140,360
2018-06-23,native,19,2,835,135,470
2018-06-23,native,20,2,970,320,150
2018-06-23,native,21,2,880,120,440
2018-06-23,native,22,2,1110,210,120
2018-06-23,native,23,2,855,85,495
2018-06-23,native,24,2,875,175,390
2018-06-24,invaded,01,3,1390,50,0
2018-06-24,invaded,02,3,1215,225,0
2018-06-24,invaded,03,3,835,145,460
2018-06-24,invaded,04,3,1e3,255,180
2018-06-24,invaded,05,3,985,320,135
2018-06-24,invaded,06,3,960,200,280
2018-06-24,invaded,07,3,1220,215,5
2018-06-24,invaded,08,3,1090,340,5
2018-06-24,invaded,09,3,895,200,345
2018-06-24,invaded,10,3,850,175,415
2018-06-24,invaded,11,3,680,215,545
2018-06-24,invaded,12,3,755,145,540
2018-06-24,native,13,3,865,250,325
2018-06-24,native,14,3,920,170,350
2018-06-24,native,15,3,850,180,410
2018-06-24,native,16,3,775,205,460
2018-06-24,native,17,3,800,150,490
2018-06-24,native,18,3,990,125,325
2018-06-24,native,19,3,840,130,470
2018-06-24,native,20,3,1065,225,150
2018-06-24,native,21,3,870,170,400
2018-06-24,native,22,3,1115,195,130
2018-06-24,native,23,3,850,125,465
2018-06-24,native,24,3,935,165,340
2018-06-25,invaded,01,4,1395,45,0
2018-06-25,invaded,02,4,1110,320,10
2018-06-25,invaded,03,4,925,115,400
2018-06-25,invaded,04,4,975,140,325
2018-06-25,invaded,05,4,930,155,355
2018-06-25,invaded,06,4,950,205,285
2018-06-25,invaded,07,4,1185,225,30
2018-06-25,invaded,08,4,965,270,200
2018-06-25,invaded,09,4,880,120,435
2018-06-25,invaded,10,4,925,30,485
2018-06-25,invaded,11,4,740,155,545
2018-06-25,invaded,12,4,795,75,570
2018-06-25,native,13,4,935,125,380
2018-06-25,native,14,4,955,105,380
2018-06-25,native,15,4,880,95,460
2018-06-25,native,16,4,840,135,465
2018-06-25,native,17,4,820,80,540
2018-06-25,native,18,4,945,165,330
2018-06-25,native,19,4,925,40,475
2018-06-25,native,20,4,990,270,180
2018-06-25,native,21,4,925,60,455
2018-06-25,native,22,4,1045,260,135
2018-06-25,native,23,4,925,35,480
2018-06-25,native,24,4,945,150,345
2018-06-26,invaded,01,5,1440,0,0
2018-06-26,invaded,02,5,1215,210,15
2018-06-26,invaded,03,5,1115,35,290
2018-06-26,invaded,04,5,1095,105,240
2018-06-26,invaded,05,5,1095,35,310
2018-06-26,invaded,06,5,1145,115,180
2018-06-26,invaded,07,5,1150,195,95
2018-06-26,invaded,08,5,1105,110,225
2018-06-26,invaded,09,5,1035,70,335
2018-06-26,invaded,10,5,1065,30,345
2018-06-26,invaded,11,5,935,115,390
2018-06-26,invaded,12,5,980,70,390
2018-06-26,native,13,5,1085,105,250
2018-06-26,native,14,5,1100,70,270
2018-06-26,native,15,5,1060,45,335
2018-06-26,native,16,5,1020,100,320
2018-06-26,native,17,5,1035,20,385
2018-06-26,native,18,5,1090,85,265
2018-06-26,native,19,5,1070,35,335
2018-06-26,native,20,5,1105,220,115
2018-06-26,native,21,5,1080,30,330
2018-06-26,native,22,5,1120,180,140
2018-06-26,native,23,5,1065,30,345
2018-06-26,native,24,5,1085,70,280
2018-06-27,invaded,01,6,1440,0,0
2018-06-27,invaded,02,6,1440,0,0
2018-06-27,invaded,03,6,1440,0,0
2018-06-27,invaded,04,6,1440,0,0
2018-06-27,invaded,05,6,1440,0,0
2018-06-27,invaded,06,6,1440,0,0
2018-06-27,invaded,07,6,1440,0,0
2018-06-27,invaded,08,6,1440,0,0
2018-06-27,invaded,09,6,1440,0,0
2018-06-27,invaded,10,6,1440,0,0
2018-06-27,invaded,11,6,1010,325,105
2018-06-27,invaded,12,6,1100,255,85
2018-06-27,native,13,6,1200,165,75
2018-06-27,native,14,6,1220,140,80
2018-06-27,native,15,6,1195,225,15
2018-06-27,native,16,6,1070,100,270
2018-06-27,native,17,6,1065,130,245
2018-06-27,native,18,6,1305,135,0
2018-06-27,native,19,6,1350,85,5
2018-06-27,native,20,6,1440,0,0
2018-06-27,native,21,6,1290,150,0
2018-06-27,native,22,6,1440,0,0
2018-06-27,native,23,6,1110,115,215
2018-06-27,native,24,6,1370,70,0
2018-06-28,invaded,01,7,1440,0,0
2018-06-28,invaded,02,7,1440,0,0
