installation,plot_id,location,visit_date,collection_method,species,life_stage,count,visit_year,site_code,plot_id_code,location_code,collection_method_code,species_code,life_stage_code,sample_id,species_name
blanding,blanding b1,north,2017-06-08,trap,NA,NA,0,2017,NA,NA,NA,NA,NA,NA,NA,unknown
blanding,blanding b1,south,2017-06-08,trap,NA,NA,0,2017,NA,NA,NA,NA,NA,NA,NA,unknown
blanding,blanding b1,east,2017-06-08,trap,NA,NA,0,2017,NA,NA,NA,NA,NA,NA,NA,unknown
blanding,blanding b1,west,2017-06-08,trap,NA,NA,0,2017,NA,NA,NA,NA,NA,NA,NA,unknown
blanding,blanding b1,center,2017-06-08,trap,NA,NA,0,2017,NA,NA,NA,NA,NA,NA,NA,unknown
avonpark,avonpark b1,north,2017-06-29,trap,NA,NA,0,2017,NA,NA,NA,NA,NA,NA,NA,unknown
avonpark,avonpark b1,south,2017-06-29,trap,NA,NA,0,2017,NA,NA,NA,NA,NA,NA,NA,unknown
avonpark,avonpark b1,east,2017-06-29,trap,NA,NA,0,2017,NA,NA,NA,NA,NA,NA,NA,unknown
avonpark,avonpark b1,west,2017-06-29,trap,NA,NA,0,2017,NA,NA,NA,NA,NA,NA,NA,unknown
avonpark,avonpark b1,center,2017-06-29,trap,NA,NA,0,2017,NA,NA,NA,NA,NA,NA,NA,unknown
eglin,eglin b1,north,2017-08-19,trap,NA,NA,0,2017,NA,NA,NA,NA,NA,NA,NA,unknown
eglin,eglin b1,east,2017-08-19,trap,NA,NA,0,2017,NA,NA,NA,NA,NA,NA,NA,unknown
eglin,eglin b1,south,2017-08-19,trap,NA,NA,0,2017,NA,NA,NA,NA,NA,NA,NA,unknown
eglin,eglin b1,west,2017-08-19,trap,NA,NA,0,2017,NA,NA,NA,NA,NA,NA,NA,unknown
eglin,eglin b1,center,2017-08-19,trap,NA,NA,0,2017,NA,NA,NA,NA,NA,NA,NA,unknown
moody,moody b1,north,2017-08-29,trap,NA,NA,0,2017,NA,NA,NA,NA,NA,NA,NA,unknown
moody,moody b1,east,2017-08-29,trap,NA,NA,0,2017,NA,NA,NA,NA,NA,NA,NA,unknown
moody,moody b1,south,2017-08-29,trap,NA,NA,0,2017,NA,NA,NA,NA,NA,NA,NA,unknown
moody,moody b1,west,2017-08-29,trap,NA,NA,0,2017,NA,NA,NA,NA,NA,NA,NA,unknown
moody,moody b1,center,2017-08-29,trap,NA,NA,0,2017,NA,NA,NA,NA,NA,NA,NA,unknown
moody,moody a1,north,2017-08-30,trap,NA,NA,0,2017,NA,NA,NA,NA,NA,NA,NA,unknown
moody,moody a1,east,2017-08-30,trap,NA,NA,0,2017,NA,NA,NA,NA,NA,NA,NA,unknown
moody,moody a1,south,2017-08-30,trap,NA,NA,0,2017,NA,NA,NA,NA,NA,NA,NA,unknown
moody,moody a1,west,2017-08-30,trap,NA,NA,0,2017,NA,NA,NA,NA,NA,NA,NA,unknown
moody,moody a1,center,2017-08-30,trap,NA,NA,0,2017,NA,NA,NA,NA,NA,NA,NA,unknown
moody,moody k1,north,2017-08-30,trap,NA,NA,0,2017,NA,NA,NA,NA,NA,NA,NA,unknown
moody,moody k1,east,2017-08-30,trap,NA,NA,0,2017,NA,NA,NA,NA,NA,NA,NA,unknown
moody,moody k1,south,2017-08-30,trap,NA,NA,0,2017,NA,NA,NA,NA,NA,NA,NA,unknown
moody,moody k1,west,2017-08-30,trap,NA,NA,0,2017,NA,NA,NA,NA,NA,NA,NA,unknown
moody,moody k1,center,2017-08-30,trap,NA,NA,0,2017,NA,NA,NA,NA,NA,NA,NA,unknown
shelby,shelby b2,north,2017-09-24,trap,NA,NA,0,2017,NA,NA,NA,NA,NA,NA,NA,unknown
shelby,shelby b2,south,2017-09-24,trap,NA,NA,0,2017,NA,NA,NA,NA,NA,NA,NA,unknown
shelby,shelby b2,east,2017-09-24,trap,NA,NA,0,2017,NA,NA,NA,NA,NA,NA,NA,unknown
shelby,shelby b2,west,2017-09-24,trap,NA,NA,0,2017,NA,NA,NA,NA,NA,NA,NA,unknown
shelby,shelby b2,center,2017-09-24,trap,NA,NA,0,2017,NA,NA,NA,NA,NA,NA,NA,unknown
eglin,eglin c1,nw,2018-06-15,trap,NA,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,unknown
eglin,eglin c1,ne,2018-06-15,trap,NA,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,unknown
eglin,eglin c1,sw,2018-06-15,trap,NA,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,unknown
eglin,eglin c1,se,2018-06-15,trap,NA,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,unknown
eglin,eglin e1,nw,2018-06-15,trap,NA,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,unknown
eglin,eglin e1,ne,2018-06-15,trap,NA,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,unknown
eglin,eglin e1,sw,2018-06-15,trap,NA,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,unknown
eglin,eglin e1,se,2018-06-15,trap,NA,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,unknown
tyndall,tyndall b4,nw,2018-06-29,trap,NA,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,unknown
tyndall,tyndall b4,ne,2018-06-29,trap,NA,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,unknown
tyndall,tyndall b4,sw,2018-06-29,trap,NA,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,unknown
tyndall,tyndall b4,se,2018-06-29,trap,NA,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,unknown
jackson,jackson c1,nw,2018-07-11,trap,NA,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,unknown
jackson,jackson c1,ne,2018-07-11,trap,NA,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,unknown
jackson,jackson c1,sw,2018-07-11,trap,NA,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,unknown
jackson,jackson c1,se,2018-07-11,trap,NA,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,unknown
jackson,jackson e1,nw,2018-07-12,trap,NA,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,unknown
jackson,jackson e1,ne,2018-07-12,trap,NA,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,unknown
jackson,jackson e1,sw,2018-07-12,trap,NA,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,unknown
jackson,jackson e1,se,2018-07-12,trap,NA,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,unknown
jackson,jackson f1,nw,2018-07-12,trap,NA,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,unknown
jackson,jackson f1,ne,2018-07-12,trap,NA,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,unknown
jackson,jackson f1,sw,2018-07-12,trap,NA,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,unknown
jackson,jackson f1,se,2018-07-12,trap,NA,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,unknown
jackson,jackson i1,nw,2018-07-12,trap,NA,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,unknown
jackson,jackson i1,ne,2018-07-12,trap,NA,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,unknown
jackson,jackson i1,sw,2018-07-12,trap,NA,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,unknown
jackson,jackson i1,se,2018-07-12,trap,NA,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,unknown
jackson,jackson j1,nw,2018-07-12,trap,NA,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,unknown
jackson,jackson j1,ne,2018-07-12,trap,NA,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,unknown
jackson,jackson j1,sw,2018-07-12,trap,NA,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,unknown
jackson,jackson j1,se,2018-07-12,trap,NA,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,unknown
jackson,jackson k1,nw,2018-07-12,trap,NA,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,unknown
jackson,jackson k1,ne,2018-07-12,trap,NA,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,unknown
jackson,jackson k1,sw,2018-07-12,trap,NA,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,unknown
jackson,jackson k1,se,2018-07-12,trap,NA,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,unknown
avonpark,avonpark a1,nw,2018-07-21,trap,NA,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,unknown
avonpark,avonpark a1,ne,2018-07-21,trap,NA,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,unknown
avonpark,avonpark a1,sw,2018-07-21,trap,NA,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,unknown
avonpark,avonpark a1,se,2018-07-21,trap,NA,NA,0,2018,NA,NA,NA,NA,NA,NA,NA,unknown
