plot_id,visit_year,imcy_inv,avg_tiller_density_m2,xcoord_lon,ycoord_lat,years_since_fire
jackson d1,2018,uninvaded,NA,-80.75314,34.075136,8
jackson c1,2018,uninvaded,NA,-80.759342,34.078634,1
jackson g1,2018,uninvaded,NA,-80.783554,34.076397,4
jackson f1,2018,uninvaded,NA,-80.765852,34.079753,2
jackson e1,2018,uninvaded,NA,-80.760441,34.081586,11
jackson i1,2018,uninvaded,NA,-80.774299,34.011561,1
jackson j1,2018,uninvaded,NA,-80.764428,34.009336,3
jackson a1,2018,uninvaded,NA,-80.749623,34.077337,8
jackson b1,2018,uninvaded,NA,-80.75528,34.073796,3
jackson h1,2018,uninvaded,NA,-80.771614,34.007664,9
jackson m1,2018,uninvaded,NA,-80.778834,34.091439,0
jackson k1,2018,uninvaded,NA,-80.763432,34.014072,0
jackson l1,2018,uninvaded,NA,-80.781399,34.090976,9
